iter	F1	Logloss
0	0.5183689948	0.6521512855
1	0.542267238	0.6185473768
2	0.5512232416	0.5866053188
3	0.520657842	0.5639092605
4	0.5318471338	0.5419673297
5	0.5470957614	0.5187273459
6	0.5526110678	0.49753947
7	0.5354141657	0.4816485556
8	0.5367027677	0.4663257386
9	0.5312878482	0.4541753796
10	0.5308095046	0.4428079713
11	0.5411858337	0.4331680092
12	0.5432098765	0.4237111729
13	0.5505308691	0.4171054796
14	0.5448768864	0.411000823
15	0.5469745223	0.4042697763
16	0.544510978	0.3993926944
17	0.5431900362	0.3949357537
18	0.5469879518	0.3900320832
19	0.5466237942	0.3864204585
20	0.5429608713	0.3847105751
21	0.5472918351	0.3802034951
22	0.5534995977	0.3756062007
23	0.5558232932	0.3712348687
24	0.5589764094	0.3674112184
25	0.5594237695	0.3646642719
26	0.5614737685	0.3624906055
27	0.5620232838	0.3607639964
28	0.5635491607	0.3577050895
29	0.5621751299	0.3559684863
30	0.5650438947	0.3539657208
31	0.5661881978	0.3524515086
32	0.5661881978	0.3510827578
33	0.5674492638	0.3488296784
34	0.569047619	0.3473011219
35	0.5705229794	0.3461918022
36	0.5740228977	0.3444798152
37	0.5726698262	0.3435210118
38	0.5725583234	0.3421614028
39	0.5700712589	0.3411645638
40	0.5731272295	0.3404472507
41	0.5731272295	0.3392362294
42	0.5757216291	0.3381624872
43	0.5740300871	0.3375294438
44	0.5775147929	0.3367536226
45	0.5827762485	0.3361022627
46	0.5811023622	0.3350379125
47	0.581588305	0.3341459841
48	0.5808997632	0.3334072526
49	0.5823483058	0.3323362765
50	0.5830374753	0.33146494
51	0.5841545132	0.3309929265
52	0.5839243499	0.330551492
53	0.5842519685	0.3300248111
54	0.5847123719	0.3294392159
55	0.5859221392	0.3289942807
56	0.5854616896	0.328525119
57	0.5868968223	0.327985413
58	0.5855572998	0.3274805315
59	0.5863422292	0.3268790727
60	0.5858823529	0.3265010942
61	0.5872206978	0.3258679624
62	0.5875440658	0.3255172818
63	0.5898942421	0.3247518876
64	0.5897536175	0.324248037
65	0.5895230649	0.3238438881
66	0.590855803	0.3236574242
67	0.5918686474	0.3232155886
68	0.5940671351	0.3227796486
69	0.5936891313	0.322309755
70	0.5931410756	0.3218948584
71	0.5950155763	0.3213797896
72	0.5958770906	0.3210678117
73	0.5966549981	0.3209231049
74	0.5973520249	0.3206379515
75	0.5991462941	0.3200762919
76	0.6	0.3196036307
77	0.6029411765	0.3191244562
78	0.6010844307	0.3186371939
79	0.601934236	0.3183184143
80	0.6009280742	0.318067945
81	0.5999226904	0.31751413
82	0.6017767478	0.317106071
83	0.6030888031	0.3167516435
84	0.6044718581	0.3164663716
85	0.604238921	0.316203813
86	0.6047049749	0.3159333042
87	0.6068540624	0.3157329969
88	0.6079261254	0.3151119038
89	0.6076923077	0.3148421242
90	0.6079938509	0.3145110363
91	0.6085286208	0.3142713593
92	0.60906298	0.3140587363
93	0.610663598	0.3137294768
94	0.6117917305	0.3133289649
95	0.6123230004	0.3130035063
96	0.6121513183	0.3125474457
97	0.6120887529	0.3122836175
98	0.612447499	0.3119846289
99	0.6132723112	0.3117796819
100	0.6145634769	0.3113762811
101	0.6145634769	0.3111947924
102	0.6145634769	0.3110412295
103	0.6150914634	0.3106997516
104	0.6148571429	0.3103833236
105	0.6153846154	0.3101637927
106	0.616673011	0.3100259507
107	0.6177253709	0.3097451857
108	0.6169646253	0.3095314469
109	0.6185410334	0.309212302
110	0.6185410334	0.30914266
111	0.6208206687	0.3089092907
112	0.6208206687	0.3085485375
113	0.6223908918	0.308149327
114	0.6229632437	0.3080108002
115	0.6239575436	0.3078141054
116	0.6234848485	0.3075496946
117	0.6245268736	0.3073727979
118	0.6243386243	0.3069490438
119	0.6235827664	0.3066900794
120	0.6245746692	0.3063091493
121	0.6245746692	0.3061948899
122	0.6251415629	0.3059346756
123	0.6258965647	0.3057248818
124	0.6259426848	0.3054148422
125	0.6266515666	0.3051279112
126	0.6277317257	0.3048928453
127	0.6287222013	0.3046257655
128	0.6284853052	0.3043441462
129	0.6282485876	0.3041719356
130	0.6285284155	0.3039274058
131	0.6297968397	0.3037595682
132	0.6297968397	0.3035039112
133	0.629559985	0.3032335515
134	0.6303121474	0.3030651392
135	0.6316184754	0.3027377305
136	0.6318949343	0.3025791503
137	0.6316579145	0.3022685283
138	0.6331959535	0.3020585609
139	0.6339452979	0.3016436595
140	0.6341829085	0.3013349852
141	0.6352413019	0.3010027227
142	0.6357516829	0.3007128292
143	0.6350037397	0.3004383786
144	0.6355140187	0.3002974894
145	0.6360239163	0.3001301746
146	0.6375513251	0.299814632
147	0.6377893951	0.2996829322
148	0.6390753169	0.2993690545
149	0.6402985075	0.299143427
150	0.6412840612	0.2989105122
151	0.6422976501	0.2987506268
152	0.6420581655	0.2985745828
153	0.6420581655	0.2982369339
154	0.6420581655	0.2980886564
155	0.6410734253	0.2978132446
156	0.6415797317	0.2974829095
157	0.6415797317	0.2973520175
158	0.6433358153	0.2971650307
159	0.6436011905	0.2968966497
160	0.6433358153	0.2967249425
161	0.6430700447	0.2965557897
162	0.6430700447	0.2963039676
163	0.6436011905	0.2960809342
164	0.6443452381	0.2956633488
165	0.6450892857	0.2954858131
166	0.6458333333	0.2952287218
167	0.6468401487	0.2950712265
168	0.6460966543	0.2948744236
169	0.6458565589	0.2946703635
170	0.6458565589	0.2945238397
171	0.6446096654	0.2941562731
172	0.6456166419	0.2940399789
173	0.6453531599	0.2937997919
174	0.6460966543	0.2935872828
175	0.646359584	0.2933217787
176	0.6460966543	0.2931884581
177	0.6458565589	0.2928878285
178	0.6468401487	0.2926660992
179	0.6478454681	0.2923499074
180	0.6485884101	0.2921362237
181	0.6480862133	0.2919118008
182	0.6493313522	0.2917301739
183	0.6488294314	0.2914470988
184	0.6495726496	0.2912350414
185	0.6488492947	0.2909950684
186	0.6486085343	0.2907627301
187	0.6483679525	0.2905762355
188	0.6481069042	0.2904055117
189	0.6483475678	0.2901656456
190	0.6495916852	0.2898891578
191	0.6495916852	0.289653518
192	0.6500927644	0.2894068006
193	0.6495916852	0.2892457895
194	0.6495726496	0.2890611345
195	0.6503340757	0.2888750444
196	0.6503340757	0.2887271308
197	0.6500927644	0.2884772295
198	0.6508348794	0.2883369981
199	0.6505755663	0.2880494124
200	0.6540600667	0.2877351805
201	0.6550445104	0.2875033585
202	0.6540460282	0.2873359568
203	0.6542888971	0.2871200918
204	0.6552875696	0.2869456545
205	0.6545319465	0.2867064676
206	0.6545454545	0.2865727604
207	0.6553002224	0.2863792263
208	0.6555431961	0.2860871731
209	0.6565394591	0.2859422977
210	0.6562962963	0.2857654093
211	0.6565507032	0.2855936491
212	0.657037037	0.2854761973
213	0.6565394591	0.2851680804
214	0.6575342466	0.2850201793
215	0.6577876434	0.2848672742
216	0.6582840237	0.2846971157
217	0.658527562	0.2844439817
218	0.6582840237	0.2842989315
219	0.6590236686	0.2841352646
220	0.6585185185	0.2839457941
221	0.6592674806	0.283715964
222	0.6592674806	0.2835030728
223	0.659511473	0.2833216177
224	0.6595194085	0.2831123796
225	0.6597633136	0.2828921555
226	0.6597633136	0.2826319079
227	0.660014782	0.2823940438
228	0.66025878	0.2822118226
229	0.66025878	0.2820332086
230	0.66025878	0.2818093642
231	0.6607538803	0.2816624433
232	0.66025878	0.2814655574
233	0.6609981516	0.2811582279
234	0.6609981516	0.2809541835
235	0.6614929786	0.2807047801
236	0.6612486147	0.2804343185
237	0.6612486147	0.2802397043
238	0.6624815362	0.2799588833
239	0.6627262652	0.2796509648
240	0.6632200886	0.2795282088
241	0.6624815362	0.2792224783
242	0.6627262652	0.2791256813
243	0.6629711752	0.2789633314
244	0.6629711752	0.2787697282
245	0.6629711752	0.2786156138
246	0.6656815663	0.278385414
247	0.6656815663	0.2782244444
248	0.6659283869	0.2779754172
249	0.6659283869	0.2777459098
250	0.6656815663	0.2775734311
251	0.6669128508	0.2772341606
252	0.667896679	0.2770381689
253	0.6686346863	0.2768735523
254	0.6688815061	0.2766414544
255	0.6678980421	0.2764394507
256	0.6678980421	0.2762447147
257	0.667405765	0.2760796639
258	0.6688815061	0.2758797968
259	0.6693726937	0.2756368933
260	0.6691257838	0.2754670363
261	0.6683880487	0.2752761345
262	0.669863519	0.2750283062
263	0.6705969049	0.2748028223
264	0.6713338246	0.2746639027
265	0.6718232044	0.2744028357
266	0.6725533481	0.2742445654
267	0.6725533481	0.2740391013
268	0.6723059949	0.2737631483
269	0.6718175129	0.273594552
270	0.6718175129	0.2735603361
271	0.6708394698	0.2733544994
272	0.6708394698	0.2731890403
273	0.6710865562	0.2730261099
274	0.6710865562	0.2727601717
275	0.6710865562	0.2725612855
276	0.6720647773	0.2722226988
277	0.6720647773	0.2720561065
278	0.6718232044	0.2719018378
279	0.6720707443	0.2716854706
280	0.6723122239	0.2715188225
281	0.6730486009	0.2713398654
282	0.6730486009	0.2711939448
283	0.6735369893	0.2710389854
284	0.6740331492	0.2708469401
285	0.6737849779	0.2706924926
286	0.6740331492	0.2705213204
287	0.6742815033	0.2703522179
288	0.6755064457	0.2700706433
289	0.675018423	0.269898589
290	0.6760044231	0.269716357
291	0.6757553427	0.2695157521
292	0.6769797422	0.2692387039
293	0.677466863	0.2688755644
294	0.6779536253	0.2687446984
295	0.6791758646	0.2685686578
296	0.6789260758	0.268281206
297	0.6786764706	0.267982172
298	0.6784400294	0.2677807196
299	0.6786897313	0.2675887223
300	0.6791758646	0.2674618131
301	0.6784400294	0.2672688913
302	0.6789396171	0.2670576811
303	0.6777041943	0.2668584804
304	0.6782032401	0.2666687019
305	0.6784660767	0.2664743602
306	0.6799263352	0.2663245942
307	0.6799263352	0.2661929466
308	0.6806629834	0.2659180431
309	0.6809137804	0.265764458
310	0.6826215022	0.2655166312
311	0.6833578792	0.2653129284
312	0.6833763362	0.2650896735
313	0.6838614591	0.2648634983
314	0.6838424733	0.2646899089
315	0.6835908756	0.2644466932
316	0.6838424733	0.2642326207
317	0.6843267108	0.2639905007
318	0.6845785793	0.2637918298
319	0.6848306333	0.2636101386
320	0.6855461567	0.2635162318
321	0.6865123117	0.2633674318
322	0.6865123117	0.2632128778
323	0.6857772878	0.2629727531
324	0.6864904552	0.2628030672
325	0.6872246696	0.2626185261
326	0.6874541453	0.2624096389
327	0.6886688669	0.26229344
328	0.6893772894	0.2621155079
329	0.6901098901	0.2619145725
330	0.6908424908	0.2617693688
331	0.6901098901	0.2616062911
332	0.6903367496	0.2614145423
333	0.6891495601	0.2611457083
334	0.6908159532	0.2608861181
335	0.6908159532	0.2606779442
336	0.6898571952	0.260475822
337	0.6908159532	0.2603231756
338	0.6905895276	0.2601686795
