iter	Passed	Remaining
0	175	87734
1	186	46336
2	195	32366
3	204	25415
4	214	21272
5	224	18476
6	233	16456
7	242	14939
8	252	13794
9	263	12892
10	272	12105
11	282	11491
12	293	10980
13	303	10524
14	313	10147
15	323	9770
16	332	9460
17	343	9193
18	353	8936
19	363	8717
20	370	8454
21	381	8283
22	393	8152
23	402	7983
24	411	7810
25	422	7701
26	433	7602
27	444	7489
28	454	7387
29	464	7273
30	474	7184
31	484	7081
32	493	6982
33	503	6902
34	513	6818
35	523	6749
36	533	6677
37	542	6594
38	551	6523
39	560	6447
40	569	6375
41	578	6307
42	587	6240
43	596	6177
44	604	6116
45	613	6058
46	622	5999
47	631	5945
48	639	5890
49	648	5836
50	657	5784
51	665	5733
52	674	5685
53	682	5638
54	691	5593
55	699	5549
56	708	5506
57	717	5467
58	726	5427
59	734	5388
60	743	5353
61	752	5318
62	761	5283
63	770	5247
64	778	5212
65	787	5178
66	796	5145
67	804	5113
68	813	5078
69	821	5047
70	830	5017
71	839	4987
72	848	4961
73	855	4925
74	864	4897
75	873	4870
76	881	4843
77	890	4816
78	898	4789
79	907	4763
80	916	4738
81	924	4715
82	933	4691
83	942	4667
84	951	4644
85	959	4620
86	969	4604
87	979	4584
88	987	4561
89	996	4540
90	1005	4520
91	1014	4498
92	1023	4477
93	1031	4456
94	1040	4436
95	1049	4416
96	1058	4397
97	1067	4380
98	1076	4360
99	1085	4341
100	1093	4321
101	1102	4302
102	1111	4283
103	1120	4267
104	1129	4250
105	1138	4230
106	1146	4212
107	1156	4196
108	1165	4180
109	1174	4163
110	1181	4139
111	1190	4123
112	1198	4106
113	1207	4089
114	1216	4072
115	1224	4055
116	1233	4038
117	1242	4021
118	1250	4005
119	1259	3988
120	1267	3971
121	1277	3956
122	1285	3941
123	1294	3926
124	1303	3909
125	1311	3893
126	1321	3881
127	1331	3871
128	1341	3857
129	1350	3843
130	1359	3828
131	1367	3813
132	1376	3798
133	1385	3783
134	1393	3768
135	1402	3752
136	1410	3737
137	1419	3723
138	1427	3708
139	1436	3693
140	1444	3679
141	1453	3664
142	1462	3650
143	1472	3640
144	1481	3626
145	1489	3612
146	1498	3598
147	1507	3584
148	1515	3571
149	1524	3557
150	1533	3543
151	1541	3530
152	1550	3517
153	1559	3503
154	1567	3489
155	1576	3477
156	1585	3463
157	1593	3449
158	1605	3442
159	1615	3432
160	1623	3418
161	1632	3405
162	1640	3391
163	1650	3382
164	1661	3373
165	1671	3363
166	1681	3352
167	1690	3340
168	1699	3327
169	1707	3314
170	1716	3301
171	1724	3288
172	1733	3275
173	1741	3263
174	1750	3250
175	1758	3237
176	1767	3225
177	1775	3212
178	1784	3199
179	1793	3187
180	1801	3174
181	1810	3162
182	1818	3150
183	1827	3139
184	1836	3127
185	1845	3115
186	1854	3103
187	1863	3091
188	1871	3079
189	1880	3067
190	1888	3055
191	1897	3043
192	1905	3031
193	1914	3019
194	1923	3008
195	1932	2997
196	1941	2986
197	1950	2974
198	1958	2962
199	1968	2952
200	1977	2941
201	1985	2929
202	1994	2918
203	2003	2906
204	2011	2894
205	2020	2883
206	2029	2872
207	2038	2861
208	2046	2849
209	2055	2838
210	2064	2827
211	2072	2815
212	2081	2804
213	2089	2793
214	2098	2781
215	2107	2770
216	2115	2758
217	2124	2747
218	2132	2736
219	2141	2724
220	2149	2713
221	2158	2702
222	2166	2691
223	2176	2681
224	2185	2671
225	2194	2660
226	2204	2650
227	2215	2642
228	2226	2634
229	2235	2624
230	2244	2613
231	2254	2604
232	2264	2594
233	2274	2584
234	2284	2575
235	2293	2565
236	2303	2555
237	2313	2547
238	2322	2536
239	2331	2525
240	2340	2514
241	2348	2504
242	2357	2493
243	2366	2482
244	2374	2471
245	2383	2460
246	2392	2450
247	2400	2439
248	2409	2428
249	2417	2417
250	2426	2406
251	2434	2396
252	2444	2386
253	2453	2376
254	2462	2365
255	2471	2355
256	2479	2344
257	2488	2333
258	2496	2323
259	2505	2312
260	2514	2302
261	2522	2291
262	2531	2280
263	2539	2270
264	2547	2259
265	2556	2249
266	2565	2238
267	2573	2228
268	2582	2217
269	2591	2207
270	2599	2196
271	2608	2186
272	2616	2175
273	2625	2165
274	2633	2154
275	2642	2144
276	2651	2134
277	2659	2124
278	2668	2113
279	2677	2103
280	2685	2093
281	2694	2082
282	2702	2072
283	2711	2062
284	2719	2051
285	2728	2041
286	2736	2031
287	2745	2021
288	2754	2010
289	2762	2000
290	2770	1990
291	2779	1979
292	2788	1969
293	2796	1959
294	2805	1949
295	2813	1939
296	2822	1929
297	2831	1919
298	2839	1908
299	2848	1898
300	2856	1888
301	2865	1878
302	2874	1868
303	2882	1858
304	2891	1848
305	2900	1838
306	2908	1828
307	2917	1818
308	2926	1808
309	2934	1798
310	2943	1788
311	2952	1778
312	2960	1768
313	2969	1758
314	2977	1748
315	2986	1738
316	2995	1729
317	3003	1719
318	3012	1709
319	3021	1699
320	3029	1689
321	3038	1679
322	3046	1669
323	3055	1659
324	3064	1649
325	3073	1640
326	3083	1631
327	3094	1622
328	3102	1612
329	3112	1603
330	3121	1593
331	3129	1583
332	3138	1573
333	3147	1564
334	3155	1554
335	3164	1544
336	3172	1534
337	3181	1524
338	3189	1514
339	3198	1505
340	3206	1495
341	3215	1485
342	3223	1475
343	3232	1466
344	3241	1456
345	3250	1446
346	3259	1437
347	3267	1427
348	3276	1417
349	3284	1407
350	3294	1398
351	3302	1388
352	3311	1379
353	3322	1370
354	3332	1361
355	3341	1351
356	3350	1341
357	3359	1332
358	3369	1323
359	3378	1313
360	3387	1304
361	3396	1294
362	3404	1284
363	3414	1275
364	3423	1266
365	3432	1256
366	3441	1247
367	3449	1237
368	3458	1227
369	3468	1218
370	3476	1208
371	3485	1199
372	3494	1189
373	3503	1180
374	3512	1170
375	3521	1161
376	3530	1151
377	3539	1142
378	3549	1133
379	3558	1123
380	3567	1114
381	3577	1105
382	3586	1095
383	3595	1086
384	3604	1076
385	3612	1067
386	3621	1057
387	3630	1047
388	3638	1038
389	3647	1028
390	3656	1019
391	3665	1009
392	3673	1000
393	3682	990
394	3691	981
395	3700	971
396	3709	962
397	3718	952
398	3727	943
399	3736	934
400	3745	924
401	3754	915
402	3763	905
403	3773	896
404	3782	887
405	3791	877
406	3800	868
407	3809	859
408	3818	849
409	3827	840
410	3836	830
411	3845	821
412	3853	811
413	3862	802
414	3871	792
415	3879	783
416	3888	773
417	3897	764
418	3906	755
419	3915	745
420	3923	736
421	3932	726
422	3941	717
423	3950	708
424	3959	698
425	3970	689
426	3981	680
427	3990	671
428	3998	661
429	4007	652
430	4016	643
431	4025	633
432	4034	624
433	4042	614
434	4051	605
435	4060	596
436	4069	586
437	4077	577
438	4085	567
439	4094	558
440	4103	548
441	4111	539
442	4119	530
443	4128	520
444	4136	511
445	4145	501
446	4153	492
447	4162	483
448	4170	473
449	4179	464
450	4188	455
451	4196	445
452	4204	436
453	4213	426
454	4222	417
455	4230	408
456	4239	398
457	4247	389
458	4256	380
459	4265	370
460	4273	361
461	4282	352
462	4290	342
463	4299	333
464	4307	324
465	4315	314
466	4324	305
467	4333	296
468	4341	286
469	4350	277
470	4358	268
471	4367	259
472	4375	249
473	4384	240
474	4393	231
475	4402	221
476	4411	212
477	4420	203
478	4428	194
479	4437	184
480	4445	175
481	4454	166
482	4462	157
483	4471	147
484	4479	138
485	4487	129
486	4496	120
487	4504	110
488	4513	101
489	4521	92
490	4530	83
491	4539	73
492	4548	64
493	4556	55
494	4565	46
495	4573	36
496	4582	27
497	4590	18
498	4599	9
499	4608	0
